issue,topic
5180,57
5183,42
5184,42
5185,39
5190,57
5192,42
5193,42
5194,60
5202,42
5204,49
5205,42
5209,42
5211,42
5212,42
5215,46
5216,57
5219,48
5221,42
5227,57
5233,60
5234,43
5235,42
5238,60
5240,42
5244,57
5246,57
5252,35
5255,42
5257,61
5261,25
5263,43
5264,42
5287,21
5289,42
5295,61
5298,42
5299,61
5300,61
5304,18
5305,43
5307,42
5310,42
5312,56
5315,43
5316,42
5318,24
5321,18
5322,42
5329,25
5344,47
5347,37
5352,42
5355,42
5357,42
5390,48
5392,42
5393,42
5394,60
5397,42
5407,56
5446,27
5448,38
5461,44
5473,13
5486,42
5492,42
5497,56
5501,28
5506,28
5510,39
5511,39
5512,42
5513,60
5514,60
5519,18
5521,42
5525,56
5539,42
5548,60
5549,60
5556,34
5557,42
5564,20
5569,5
5574,28
5581,61
5588,3
5589,22
5592,17
5593,61
5594,57
5600,56
5614,30
5616,43
5618,17
5622,43
5635,38
5636,38
5637,62
5638,43
5639,17
5640,38
5641,60
5642,38
5643,9
5646,38
5651,62
5653,38
5664,43
5666,10
5667,42
5674,18
5681,44
5683,25
5685,61
5687,42
5694,44
5696,60
5701,42
5703,44
5710,42
5712,61
5727,44
5759,61
5778,42
5781,43
5789,61
5790,60
5795,44
5802,60
5803,43
5805,43
5809,43
5810,44
5814,43
5818,42
5820,22
5821,42
5823,43
5844,43
5856,43
5858,18
5863,42
5871,5
5872,43
5884,18
5885,44
5888,42
5893,43
5904,42
5905,44
5906,44
5913,43
5916,44
5917,7
5918,42
5921,42
5923,42
5925,60
5927,43
5933,22
5946,44
5947,42
5951,57
5955,37
5956,42
5957,43
5958,42
5959,58
5960,32
5961,25
5963,25
5972,42
5973,19
5975,17
5976,19
5997,19
6000,42
6009,19
6012,19
6019,19
6025,19
6042,43
6054,19
6058,19
6064,43
6069,19
6073,19
6081,42
6103,19
6115,5
6121,19
6125,19
6128,19
6138,19
6144,56
6145,19
6147,19
6153,21
6159,56
6162,19
6189,42
6195,19
6205,43
6206,19
6213,19
6222,19
6223,19
6231,19
6247,19
6255,19
6258,42
6263,42
6266,19
6270,19
6277,19
6278,42
6282,19
6287,42
6295,60
6299,19
6304,60
6418,42
6428,43
6431,43
6461,43
6471,42
6503,43
6506,43
6511,44
6519,46
6522,42
6523,9
6524,56
6525,46
6531,46
6536,46
6542,46
6547,46
6548,9
6549,42
6553,38
6554,38
6555,43
6569,38
6571,46
6572,46
6575,46
6579,46
6580,42
6581,46
6583,46
6584,42
6593,42
6596,60
6687,43
6759,60
6764,42
6765,8
6770,42
6772,11
6775,11
6776,11
6777,48
6778,11
6779,48
6784,62
6792,44
6795,42
6799,43
6800,42
6804,43
6806,62
6810,0
